,Open,High,Low,Close,Volume,Date
2025-08-25,432.7413211266782,434.6314495609248,429.92602887828053,430.0553283691406,1857900,2025-08-25
2025-08-26,429.15997870830785,429.9458851874799,425.0215755828647,429.0207214355469,2792200,2025-08-26
2025-08-27,427.4986945303473,432.80100584967545,426.7227457919305,430.4234313964844,1970900,2025-08-27
2025-08-28,432.65179443359375,433.71624589477466,430.3836342283491,432.65179443359375,1651700,2025-08-28
2025-08-29,423.2011165078074,425.87715145482775,412.218431798358,416.86419677734375,3673800,2025-08-29
2025-09-02,411.76080653378847,415.0436593838339,408.38839428607315,413.8896789550781,2329500,2025-09-02
2025-09-03,415.95891925591616,415.95891925591616,409.23400996112184,412.96453857421875,1496700,2025-09-03
2025-09-04,413.6509502132502,418.6051030442599,412.13885357413443,418.0380554199219,1634600,2025-09-04
2025-09-05,418.65481944071195,422.69373579755484,415.7400405097262,420.8831787109375,1843200,2025-09-05
2025-09-08,420.45544797983234,421.70891533607363,414.6159319209702,420.58477783203125,1876700,2025-09-08
2025-09-09,420.9628105099401,421.3507697082577,414.277701860692,415.91912841796875,1710700,2025-09-09
2025-09-10,417.64012900579775,424.2854364094454,417.3217832913537,420.7140808105469,2221000,2025-09-10
2025-09-11,421.7188500255136,433.527211348568,421.12195939528146,429.1401062011719,2737900,2025-09-11
2025-09-12,426.83213975297616,430.36369453410646,425.5289442460835,429.27935791015625,2341800,2025-09-12
2025-09-15,431.5773623227951,436.4718290112582,428.3740806767124,433.6764221191406,2255800,2025-09-15
2025-09-16,433.86543157410284,438.51116593788055,432.02503149263583,438.3818664550781,2366300,2025-09-16
2025-09-17,442.6893925311773,449.99127684578826,440.6997772838462,448.32000732421875,4512200,2025-09-17
2025-09-18,448.61841806521613,465.28144504094934,446.5392738647711,464.53533935546875,4331900,2025-09-18
2025-09-19,467.8182392571551,469.66856685070434,460.30742354020805,464.1175537109375,5069300,2025-09-19
2025-09-22,464.88354465887153,470.7827465362563,457.22351387112354,469.648681640625,3180000,2025-09-22
2025-09-23,470.8026339118609,482.8198958365672,465.75895231413466,468.8130187988281,3856600,2025-09-23
2025-09-24,470.2455712901221,474.04571330274166,466.1966970148788,467.3506774902344,2776700,2025-09-24
2025-09-25,462.2970140790459,465.56993946171207,457.1936464236414,461.3121643066406,2979200,2025-09-25
2025-09-26,463.0630688461099,466.0176487362781,459.97915910593895,463.34161376953125,2329000,2025-09-26
2025-09-29,465.64955455173765,470.03665996051745,465.03277866209373,469.1612243652344,2892100,2025-09-29
2025-09-30,469.1711698515366,474.96095754739065,467.79833046395066,474.6724548339844,2315300,2025-09-30
2025-10-01,471.5487574869672,481.41723182127305,468.6936645487978,478.3233947753906,2964700,2025-10-01
2025-10-02,484.3320383871312,493.40470966579323,481.6759189601034,488.0227966308594,2648600,2025-10-02
2025-10-03,490.68883273038875,501.8605326440852,489.97257006733497,495.26495361328125,2996500,2025-10-03
2025-10-06,497.8216391641365,502.9647775233625,490.47995412113494,492.80780029296875,2629200,2025-10-06
2025-10-07,495.3445428207713,495.7922183860808,481.03920462220395,484.18280029296875,2135400,2025-10-07
2025-10-08,488.4405734284048,506.83458658226965,486.7991469615078,499.5127868652344,3959400,2025-10-08
2025-10-09,501.4427327565582,503.8999088229399,494.55868094148815,497.7619323730469,3113900,2025-10-09
2025-10-10,500.5075955365551,508.8440880933737,488.74896240234375,488.74896240234375,3889100,2025-10-10
2025-10-13,499.54263547130785,503.75068259242073,492.8774426973558,502.13909912109375,2618400,2025-10-13
2025-10-14,497.98077932957125,528.7999299717098,496.4189544570793,524.7311401367188,5459800,2025-10-14
2025-10-15,531.4262229638018,535.654155191405,524.472527673791,531.2769775390625,3447100,2025-10-15
2025-10-16,535.2662175246071,542.1602274563429,531.923678294355,538.1511840820312,3463100,2025-10-16
2025-10-17,534.5897067002439,539.3946443532178,524.2337257030123,524.3432006835938,2814700,2025-10-17
2025-10-20,528.323849900992,532.9530334004278,525.7099706174059,529.9400634765625,2170800,2025-10-20
